Advertiser,Advertiser Currency,Insertion Order,App/URL,Impressions,Clicks,Click Rate (CTR),Total Conversions,Post-Click Conversions,Post-View Conversions,Revenue (Adv Currency),Media Cost (Advertiser Currency)
,,,,2197134,4236,0.19%,0,0,0,486.320419,381.128855
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,999.md,194065,179,0.09%,0,0,0,29.437524,23.07016
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,trontv.com,10710,9,0.08%,0,0,0,2.538949,1.989772
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,fasingur.me,10407,26,0.25%,0,0,0,2.923851,2.291419
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,odoras.md,10406,31,0.30%,0,0,0,3.023468,2.369489
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,adevarul.ro,9770,12,0.12%,0,0,0,1.739633,1.363349
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,parintidenota10.ro,9592,22,0.23%,0,0,0,1.33721,1.04797
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,noi.md,9550,19,0.20%,0,0,0,1.530536,1.19948
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,kp.md,9475,16,0.17%,0,0,0,2.40678,1.886191
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,ontvtime.ru,8776,14,0.16%,0,0,0,1.860095,1.457755
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,jurnaltv.md,8657,3,0.04%,0,0,0,1.167851,0.915244
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,omg.md,8648,18,0.21%,0,0,0,2.470672,1.936263
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,bucatarul.eu,8599,39,0.45%,0,0,0,2.881232,2.258019
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,versiya.info,8575,24,0.28%,0,0,0,3.139085,2.460098
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,olx.ro,7935,7,0.09%,0,0,0,1.449673,1.136107
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,brainly.ro,7906,11,0.14%,0,0,0,1.993929,1.56264
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,makler.md,7725,2,0.03%,0,0,0,1.827543,1.432244
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,championat.com,7626,17,0.22%,0,0,0,1.490095,1.167786
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,zugo.md,7532,16,0.21%,0,0,0,1.766528,1.384426
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,247mirror.com,7521,9,0.12%,0,0,0,1.583854,1.241265
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,fericitazi.com,6950,5,0.07%,0,0,0,1.360373,1.066123
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,news.yam.md,6468,12,0.19%,0,0,0,2.360544,1.849956
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,cancan.ro,6069,9,0.15%,0,0,0,0.855062,0.670111
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,cosmo.ru,6031,10,0.17%,0,0,0,1.419994,1.112848
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,dailymotion.com,5740,6,0.11%,0,0,0,1.54774,1.212962
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,joinfo.ua,5702,8,0.14%,0,0,0,1.209019,0.947507
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,gagauzinfo.md,5538,11,0.20%,0,0,0,1.219124,0.955426
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,kakzachem.ru,5480,11,0.20%,0,0,0,1.61346,1.264467
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,nash-dom2.su,5197,5,0.10%,0,0,0,0.779092,0.610574
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,b1.ro,5015,6,0.12%,0,0,0,1.004883,0.787526
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,zdg.md,4882,6,0.12%,0,0,0,1.086221,0.85127
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,civic.md,4814,1,0.02%,0,0,0,1.503331,1.178159
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,eurosport.ru,4679,12,0.26%,0,0,0,1.221711,0.957454
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,accuweather.com,4612,12,0.26%,0,0,0,0.833521,0.65323
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,olx.ua,4584,4,0.09%,0,0,0,0.805534,0.631296
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,drive2.ru,4429,5,0.11%,0,0,0,0.962246,0.754111
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,observator.tv,4350,10,0.23%,0,0,0,1.067822,0.836851
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,m.lenta.ru,4326,10,0.23%,0,0,0,1.061962,0.832259
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,retete-usoare.info,4212,17,0.40%,0,0,0,1.268187,0.993877
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,primelestiri.md,4107,9,0.22%,0,0,0,0.736653,0.577314
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,ziarulunirea.ro,4076,20,0.49%,0,0,0,1.171955,0.91846
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,ziuadeazi.md,4039,9,0.22%,0,0,0,1.146848,0.898784
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,livetrending.ro,3982,12,0.30%,0,0,0,1.034412,0.810668
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,stiai.net,3822,7,0.18%,0,0,0,1.008527,0.790382
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,mesajeurarifelicitari.com,3801,5,0.13%,0,0,0,0.375713,0.294446
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,udivitelno.fun,3704,8,0.22%,0,0,0,0.644159,0.504827
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,bunica.md,3689,22,0.60%,0,0,0,1.410628,1.105508
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,antena3.ro,3664,1,0.03%,0,0,0,0.750806,0.588406
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,ebay.com,3623,1,0.03%,0,0,0,0.997826,0.781995
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,sports.ru,3497,2,0.06%,0,0,0,0.906962,0.710785
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,playtech.ro,3375,6,0.18%,0,0,0,0.347332,0.272204
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,ntv.ru,3342,11,0.33%,0,0,0,1.231993,0.965512
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,csid.ro,3338,6,0.18%,0,0,0,0.635821,0.498292
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,historia.ro,3325,5,0.15%,0,0,0,0.429195,0.33636
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,rbc.ru,3324,5,0.15%,0,0,0,0.69348,0.54348
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,dcnews.ro,3269,9,0.28%,0,0,0,0.667921,0.523449
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,Clean Master (Boost & AppLock) - Android (com.cleanmaster.mguard),3239,37,1.14%,0,0,0,1.152303,0.903059
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,econet.ru,3207,11,0.34%,0,0,0,0.579781,0.454374
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,totuldespremame.ro,3195,5,0.16%,0,0,0,0.901253,0.706311
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,4eva.ru,3123,19,0.61%,0,0,0,1.717079,1.345673
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,msn.com,3100,2,0.07%,0,0,0,0.772007,0.605021
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,mixnews.lv,3051,15,0.49%,0,0,0,0.984637,0.771659
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,takprosto.cc,3005,5,0.17%,0,0,0,0.853622,0.668983
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,newsmd.md,2998,6,0.20%,0,0,0,0.436207,0.341855
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,akcenty.com.ua,2973,11,0.37%,0,0,0,0.783475,0.614009
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,brainum.ru,2967,5,0.17%,0,0,0,0.75813,0.594146
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,fabricatinromania.info,2905,14,0.48%,0,0,0,0.893305,0.700082
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,autogidas.lt,2863,1,0.04%,0,0,0,0.344505,0.269988
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,lenta.ru,2853,2,0.07%,0,0,0,0.427547,0.335068
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,drochia.report,2838,0,0.00%,0,0,0,0.744606,0.583547
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,1cvet.ru,2834,9,0.32%,0,0,0,0.542918,0.425484
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,sin0nime.com,2816,2,0.07%,0,0,0,0.36028,0.282351
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,autoplius.lt,2803,2,0.07%,0,0,0,0.566272,0.443787
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,optim1stka.ru,2766,6,0.22%,0,0,0,0.386082,0.302572
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,bonnylady.com,2733,8,0.29%,0,0,0,0.688091,0.539256
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,superclipuri.com,2704,7,0.26%,0,0,0,0.658151,0.515792
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,a1.ro,2683,2,0.08%,0,0,0,0.67959,0.532594
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,stiriziare.net,2675,10,0.37%,0,0,0,0.694102,0.543967
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,eva.ro,2650,5,0.19%,0,0,0,0.519781,0.407352
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,stirescu.ro,2621,0,0.00%,0,0,0,0.546929,0.428628
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,suchen.mobile.de,2611,3,0.12%,0,0,0,0.810187,0.634943
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,lunanews.net,2526,7,0.28%,0,0,0,0.382282,0.299594
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,vokrug.tv,2484,7,0.28%,0,0,0,0.620241,0.486082
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,scritub.com,2469,4,0.16%,0,0,0,0.330811,0.259256
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,lucky-women.ru,2465,3,0.12%,0,0,0,0.645018,0.5055
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,mobile.de,2453,0,0.00%,0,0,0,0.857624,0.672119
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,neskychno.com,2432,2,0.08%,0,0,0,0.496176,0.388853
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,gazeta.ru,2378,1,0.04%,0,0,0,0.427223,0.334814
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,poki.ro,2359,2,0.09%,0,0,0,0.53829,0.421857
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,terev.ru,2358,2,0.09%,0,0,0,0.716539,0.561551
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,farmacieonline.md,2353,0,0.00%,0,0,0,0.933231,0.731372
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,agrointel.ro,2331,7,0.30%,0,0,0,0.579133,0.453866
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,tvc.md,2300,2,0.09%,0,0,0,0.529657,0.415092
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,suntgospodina.net,2259,9,0.40%,0,0,0,0.697411,0.54656
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,gsmarena.com,2251,3,0.13%,0,0,0,0.637589,0.499678
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,realitatea.md,2229,1,0.05%,0,0,0,0.296098,0.232052
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,znanija.com,2219,5,0.23%,0,0,0,0.456377,0.357662
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,revistasanatate.net,2193,2,0.09%,0,0,0,0.151205,0.118499
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,kiloretete.ro,2166,9,0.42%,0,0,0,0.787645,0.617277
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,tviigetz.ru,2155,4,0.19%,0,0,0,0.30423,0.238425
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,patria.md,2152,1,0.05%,0,0,0,0.400494,0.313867
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,sport.ro,2134,7,0.33%,0,0,0,0.597575,0.468319
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,kakao.im,2119,4,0.19%,0,0,0,0.651694,0.510732
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,prikolis.info,2105,1,0.05%,0,0,0,0.269246,0.211008
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,obozrevatel.com,2104,3,0.14%,0,0,0,0.549467,0.430617
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,belot.md,2099,1,0.05%,0,0,0,0.071095,0.055717
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,ilovehobby.club,2097,0,0.00%,0,0,0,0.588722,0.461381
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,Час ТВ онлайн - Android (ru.chastvonline),2095,9,0.43%,0,0,0,0.469738,0.368133
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,speedtest.net,2080,5,0.24%,0,0,0,0.666341,0.522211
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,andreearaicu.ro,2073,3,0.15%,0,0,0,0.219566,0.172074
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,Viber Messenger – Text & Call - iOS (382617920),2028,6,0.30%,0,0,0,0.576825,0.452057
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,referatele.com,1993,5,0.25%,0,0,0,0.22426,0.175752
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,fasingur.info,1972,4,0.20%,0,0,0,0.565759,0.443385
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,rasfoiesc.com,1956,1,0.05%,0,0,0,0.286643,0.224642
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,politeka.net,1937,3,0.16%,0,0,0,0.504542,0.395409
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,evz.ro,1918,11,0.57%,0,0,0,0.548713,0.430026
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,irecommend.ru,1897,1,0.05%,0,0,0,0.562595,0.440905
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,uznayvse.ru,1847,5,0.27%,0,0,0,0.507923,0.398059
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,expresul.md,1835,4,0.22%,0,0,0,0.349698,0.274058
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,citatepedia.ro,1834,4,0.22%,0,0,0,0.293119,0.229717
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,stemir.org,1823,4,0.22%,0,0,0,0.529407,0.414896
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,topspletni.ru,1820,3,0.17%,0,0,0,0.300802,0.235738
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,divahair.ro,1808,1,0.06%,0,0,0,0.224602,0.17602
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,votaktak.info,1808,4,0.22%,0,0,0,0.583265,0.457104
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,smaylik.news,1798,6,0.33%,0,0,0,0.892246,0.699252
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,savoriurbane.com,1796,4,0.22%,0,0,0,0.479577,0.375844
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,video-dom2.ru,1794,0,0.00%,0,0,0,0.26718,0.209389
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,kanald.ro,1783,6,0.34%,0,0,0,0.418884,0.328279
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,dni.ru,1780,5,0.28%,0,0,0,0.680142,0.533027
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,w3schools.com,1765,0,0.00%,0,0,0,0.302924,0.237401
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,libertatea.ro,1738,2,0.12%,0,0,0,0.308955,0.242128
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,trendru.info,1696,3,0.18%,0,0,0,0.327853,0.256938
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,lime.energy,1694,1,0.06%,0,0,0,0.556818,0.436378
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,weather.com,1679,8,0.48%,0,0,0,0.963209,0.754866
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,prosport.ro,1654,1,0.06%,0,0,0,0.208068,0.163063
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,tvzvezda.ru,1646,1,0.06%,0,0,0,0.18921,0.148284
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,savuros.info,1600,2,0.13%,0,0,0,0.449189,0.352029
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,duck.show,1590,4,0.25%,0,0,0,0.361257,0.283117
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,freepik.com,1560,0,0.00%,0,0,0,0.335807,0.263172
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,lemurov.net,1528,2,0.13%,0,0,0,0.30058,0.235564
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,mk.ru,1520,4,0.26%,0,0,0,0.434962,0.340879
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,stiritv.ro,1520,5,0.33%,0,0,0,0.387286,0.303516
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,reverso.net,1467,2,0.14%,0,0,0,0.44549,0.34913
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,jemchyjinka.ru,1456,6,0.41%,0,0,0,0.389701,0.305408
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,orheitv.md,1456,3,0.21%,0,0,0,0.42564,0.333574
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,copilul.ro,1448,0,0.00%,0,0,0,0.22917,0.1796
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,liveam.tv,1435,4,0.28%,0,0,0,0.260571,0.204209
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,naturavindecatoare.ro,1435,0,0.00%,0,0,0,0.229787,0.180084
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,kudika.ro,1427,5,0.35%,0,0,0,0.285402,0.223669
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,mcpehub.org,1424,15,1.05%,0,0,0,0.951548,0.745727
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,kp.ru,1420,3,0.21%,0,0,0,0.38943,0.305196
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,eda.ru,1408,2,0.14%,0,0,0,0.283853,0.222455
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,bucataras.ro,1403,14,1.00%,0,0,0,0.657483,0.515269
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,femeia.ro,1393,2,0.14%,0,0,0,0.289259,0.226692
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,fithacker.ru,1381,3,0.22%,0,0,0,0.445556,0.349182
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,autovit.ro,1368,0,0.00%,0,0,0,0.238454,0.186876
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,viva.ro,1358,1,0.07%,0,0,0,0.214043,0.167745
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,livescore.com,1344,0,0.00%,0,0,0,0.248001,0.194358
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,russianfood.com,1338,3,0.22%,0,0,0,0.421566,0.330381
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,goodhouse.ru,1331,0,0.00%,0,0,0,0.311327,0.243987
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,vseivsya.ru,1327,1,0.08%,0,0,0,0.202204,0.158467
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,blogulmeu.net,1323,2,0.15%,0,0,0,0.253847,0.19894
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,dragonsnation.ru,1322,1,0.08%,0,0,0,0.285634,0.223851
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,bucatarianoastra.online,1319,5,0.38%,0,0,0,0.35501,0.278221
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,m.ziare.com,1294,4,0.31%,0,0,0,0.338902,0.265597
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,cooku.ru,1293,0,0.00%,0,0,0,0.318431,0.249554
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,farmacie.md,1277,0,0.00%,0,0,0,0.141584,0.110959
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,capital.ro,1276,1,0.08%,0,0,0,0.494361,0.38743
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,m.gazeta.ru,1265,3,0.24%,0,0,0,0.356486,0.279378
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,dozadesanatate.ro,1261,9,0.71%,0,0,0,0.351325,0.275333
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,canal3.md,1246,2,0.16%,0,0,0,0.223195,0.174918
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,romaniadeazi.info,1240,5,0.40%,0,0,0,0.27552,0.215925
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,new-year-party.ru,1239,1,0.08%,0,0,0,0.334548,0.262185
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,russian7.ru,1239,2,0.16%,0,0,0,0.359096,0.281423
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,croco.md,1231,4,0.33%,0,0,0,0.642255,0.503335
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,hyser.com.ua,1224,3,0.25%,0,0,0,0.291912,0.228771
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,from-ua.com,1193,6,0.50%,0,0,0,0.37726,0.295658
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,lauralaurentiu.ro,1190,4,0.34%,0,0,0,0.29883,0.234193
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,fishki.net,1184,2,0.17%,0,0,0,0.300654,0.235622
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,visele.ro,1156,2,0.17%,0,0,0,0.276713,0.21686
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,inspira-te.com,1149,4,0.35%,0,0,0,0.297853,0.233427
Maximum,EUR,IO Traffic | Tombola cu automobil : Chisinau,zodiacool.ro,1144,3,0.26%,0,0,0,0.309193,0.242314
